,Posição,Posição,Unidades federativas,IDHM-Longevidade,IDHM-Longevidade
,Dados de 2010,Comparados aos de 2000,Unidades federativas,Em 2010,Em 2000
0,1,(0),Distrito Federal,873,814
1,2,(0),Santa Catarina,860,812
2,3,(1),São Paulo,845,786
3,4,(1),Rio Grande do Sul,840,804
4,5,(2),Minas Gerais,838,759
5,6,(5),Rio de Janeiro,835,740
6,7,(2),Espírito Santo,835,777
7,8,(0),Mato Grosso do Sul,833,752
8,9,(0),Paraná,830,747
9,10,(4),Goiás,827,773
10,11,(1),Mato Grosso,821,740
11,12,(3),Amapá,813,711
12,13,(0),Roraima,809,717
13,14,(5),Amazonas,805,692
14,15,(5),Rondônia,800,688
15,16,(2),Ceará,793,713
16,17,(4),Tocantins,793,688
17,18,(1),Rio Grande do Norte,792,700
18,19,(3),Pernambuco,789,705
19,20,(8),Pará,789,725
20,21,(1),Bahia,783,680
21,22,(3),Paraíba,783,672
22,23,(0),Sergipe,781,678
23,24,(0),Piauí,777,676
24,25,(7),Acre,777,694
25,26,(0),Maranhão,757,649
26,27,(0),Alagoas,755,647
